time,price,magnetisation,return
0,0.954661,-0.076800,-0.582117
1,0.953135,-0.078400,-0.582114
2,0.954661,-0.076800,0.578574
3,0.953898,-0.077600,-0.291942
4,0.953135,-0.078400,-0.291942
5,0.950850,-0.080800,-0.872286
6,0.950850,-0.080800,-0.001770
7,0.956190,-0.075200,2.029436
8,0.950090,-0.081600,-2.323151
9,0.945540,-0.086400,-1.742804
10,0.948571,-0.083200,1.158920
11,0.950090,-0.081600,0.578574
12,0.944028,-0.088000,-2.323148
13,0.944784,-0.087200,0.288402
14,0.953135,-0.078400,3.190127
15,0.956955,-0.074400,1.449092
16,0.955425,-0.076000,-0.582114
17,0.963870,-0.067200,3.190127
18,0.958487,-0.072800,-2.032979
19,0.965413,-0.065600,2.609783
20,0.958487,-0.072800,-2.613323
21,0.962329,-0.068800,1.449092
22,0.961559,-0.069600,-0.291942
23,0.957721,-0.073600,-1.452633
24,0.950090,-0.081600,-2.903495
25,0.954661,-0.076800,1.739264
26,0.956955,-0.074400,0.868748
27,0.959255,-0.072000,0.868748
28,0.958487,-0.072800,-0.291945
29,0.957721,-0.073600,-0.291942
30,0.951611,-0.080000,-2.323148
31,0.950850,-0.080800,-0.291942
32,0.951611,-0.080000,0.288402
33,0.950090,-0.081600,-0.582117
34,0.951611,-0.080000,0.578577
35,0.941766,-0.090400,-3.774014
36,0.948571,-0.083200,2.609783
37,0.953898,-0.077600,2.029436
38,0.947812,-0.084000,-2.323148
39,0.945540,-0.086400,-0.872289
40,0.951611,-0.080000,2.319611
41,0.955425,-0.076000,1.449092
42,0.954661,-0.076800,-0.291945
43,0.962329,-0.068800,2.899955
44,0.959254,-0.072000,-1.162458
45,0.960022,-0.071200,0.288402
46,0.961559,-0.069600,0.578574
47,0.966959,-0.064000,2.029436
48,0.964641,-0.066400,-0.872286
49,0.970835,-0.060000,2.319609
50,0.970059,-0.060800,-0.291943
51,0.961559,-0.069600,-3.193667
52,0.960790,-0.070400,-0.291942
53,0.956955,-0.074400,-1.452633
54,0.958487,-0.072800,0.578574
55,0.959254,-0.072000,0.288405
56,0.960022,-0.071200,0.288402
57,0.953898,-0.077600,-2.323151
58,0.956190,-0.075200,0.868748
59,0.956955,-0.074400,0.288402
60,0.954661,-0.076800,-0.872289
61,0.956955,-0.074400,0.868748
62,0.952373,-0.079200,-1.742804
63,0.957721,-0.073600,2.029436
64,0.954661,-0.076800,-1.162460
65,0.956190,-0.075200,0.578577
66,0.952373,-0.079200,-1.452633
67,0.950090,-0.081600,-0.872289
68,0.945540,-0.086400,-1.742804
69,0.940260,-0.092000,-2.032976
70,0.941012,-0.091200,0.288402
71,0.934262,-0.098400,-2.613320
72,0.931277,-0.101600,-1.162460
73,0.934262,-0.098400,1.158920
74,0.937256,-0.095200,1.158918
75,0.947054,-0.084800,3.770473
76,0.944784,-0.087200,-0.872289
77,0.944784,-0.087200,-0.001770
78,0.950090,-0.081600,2.029436
79,0.949330,-0.082400,-0.291942
80,0.950850,-0.080800,0.578577
81,0.945540,-0.086400,-2.032979
82,0.950850,-0.080800,2.029439
83,0.948571,-0.083200,-0.872289
84,0.944784,-0.087200,-1.452633
85,0.946297,-0.085600,0.578574
86,0.937256,-0.095200,-3.483839
87,0.936506,-0.096000,-0.291942
88,0.944784,-0.087200,3.190127
89,0.940260,-0.092000,-1.742804
90,0.939508,-0.092800,-0.291942
91,0.935009,-0.097600,-1.742804
92,0.932768,-0.100000,-0.872289
93,0.932768,-0.100000,-0.001770
94,0.926817,-0.106400,-2.323148
95,0.934262,-0.098400,2.899955
96,0.941013,-0.091200,2.609780
97,0.938006,-0.094400,-1.162460
98,0.938006,-0.094400,-0.001770
