time,price,magnetisation,return
0,1.021834,0.031200,1.216535
1,1.019384,0.028800,-0.914213
2,1.018569,0.028000,-0.305427
3,1.018569,0.028000,-0.001035
4,1.019384,0.028800,0.303357
5,1.018569,0.028000,-0.305427
6,1.016941,0.026400,-0.609821
7,1.016941,0.026400,-0.001035
8,1.019384,0.028800,0.912143
9,1.019384,0.028800,-0.001035
10,1.020200,0.029600,0.303358
11,1.021834,0.031200,0.607750
12,1.021017,0.030400,-0.305427
13,1.020200,0.029600,-0.305428
14,1.025109,0.034400,1.825322
15,1.028394,0.037600,1.216535
16,1.029217,0.038400,0.303359
17,1.028394,0.037600,-0.305429
18,1.034170,0.043200,2.129715
19,1.034997,0.044000,0.303357
20,1.038315,0.047200,1.216537
21,1.033343,0.042400,-1.827392
22,1.034997,0.044000,0.607751
23,1.036655,0.045600,0.607751
24,1.036655,0.045600,-0.001035
25,1.039977,0.048800,1.216535
26,1.038315,0.047200,-0.609819
27,1.040810,0.049600,0.912143
28,1.043311,0.052000,0.912143
29,1.044981,0.053600,0.607749
30,1.047492,0.056000,0.912144
31,1.047492,0.056000,-0.001035
32,1.046654,0.055200,-0.305429
33,1.051690,0.060000,1.825321
34,1.055906,0.064000,1.520930
35,1.057596,0.065600,0.607749
36,1.056751,0.064800,-0.305427
37,1.060986,0.068800,1.520929
38,1.059290,0.067200,-0.609822
39,1.059290,0.067200,-0.001035
40,1.060138,0.068000,0.303360
41,1.067798,0.075200,2.738497
42,1.067798,0.075200,-0.001035
43,1.064387,0.072000,-1.218606
44,1.060986,0.068800,-1.218604
45,1.066944,0.074400,2.129713
46,1.070364,0.077600,1.216537
47,1.068653,0.076000,-0.609822
48,1.071221,0.078400,0.912144
49,1.070364,0.077600,-0.305427
50,1.067798,0.075200,-0.914214
51,1.066944,0.074400,-0.305427
52,1.069508,0.076800,0.912144
53,1.066091,0.073600,-1.218606
54,1.060138,0.068000,-2.131783
55,1.065238,0.072800,1.825321
56,1.064387,0.072000,-0.305430
57,1.072936,0.080000,3.042892
58,1.074654,0.081600,0.607752
59,1.073794,0.080800,-0.305430
60,1.076375,0.083200,0.912144
61,1.065238,0.072800,-3.958139
62,1.072936,0.080000,2.738497
63,1.077236,0.084000,1.520929
64,1.072936,0.080000,-1.522999
65,1.075514,0.082400,0.912144
66,1.075514,0.082400,-0.001035
67,1.069508,0.076800,-2.131783
68,1.074654,0.081600,1.825321
