time,price,magnetisation,return
0,1.052533,0.000000,1.049984
1,1.052533,0.000000,-0.000806
2,1.053376,0.000800,0.349458
3,1.053376,0.000800,-0.000806
4,1.053376,0.000800,-0.000806
5,1.051692,-0.000800,-0.701332
6,1.051692,-0.000800,-0.000806
7,1.052533,0.000000,0.349458
8,1.053376,0.000800,0.349458
9,1.050851,-0.001600,-1.051595
10,1.050851,-0.001600,-0.000806
11,1.050851,-0.001600,-0.000806
12,1.050010,-0.002400,-0.351069
13,1.048332,-0.004000,-0.701332
14,1.049171,-0.003200,0.349458
15,1.050851,-0.001600,0.699721
16,1.051692,-0.000800,0.349458
17,1.053376,0.000800,0.699721
18,1.052533,0.000000,-0.351069
19,1.051692,-0.000800,-0.351069
20,1.050851,-0.001600,-0.351069
21,1.050851,-0.001600,-0.000806
22,1.048332,-0.004000,-1.051595
23,1.047493,-0.004800,-0.351069
24,1.049171,-0.003200,0.699721
25,1.049171,-0.003200,-0.000806
26,1.046656,-0.005600,-1.051595
27,1.046656,-0.005600,-0.000806
28,1.046656,-0.005600,-0.000806
29,1.048332,-0.004000,0.699721
30,1.050851,-0.001600,1.049984
31,1.050010,-0.002400,-0.351069
32,1.048332,-0.004000,-0.701332
33,1.048332,-0.004000,-0.000806
34,1.048332,-0.004000,-0.000806
35,1.050010,-0.002400,0.699721
36,1.051692,-0.000800,0.699721
37,1.051692,-0.000800,-0.000806
38,1.052533,0.000000,0.349458
39,1.050851,-0.001600,-0.701332
40,1.052533,0.000000,0.699721
41,1.048332,-0.004000,-1.752121
42,1.050010,-0.002400,0.699721
43,1.050851,-0.001600,0.349458
44,1.054219,0.001600,1.400247
45,1.053376,0.000800,-0.351069
46,1.055062,0.002400,0.699721
47,1.054219,0.001600,-0.351069
48,1.055062,0.002400,0.349458
49,1.053376,0.000800,-0.701332
50,1.052533,0.000000,-0.351069
51,1.051692,-0.000800,-0.351069
52,1.052533,0.000000,0.349458
53,1.054219,0.001600,0.699721
54,1.054219,0.001600,-0.000806
55,1.055907,0.003200,0.699721
56,1.057598,0.004800,0.699721
57,1.057598,0.004800,-0.000806
58,1.060987,0.008000,1.400247
59,1.060987,0.008000,-0.000806
60,1.060987,0.008000,-0.000806
61,1.060139,0.007200,-0.351069
62,1.061836,0.008800,0.699721
63,1.060987,0.008000,-0.351069
64,1.060987,0.008000,-0.000806
65,1.060139,0.007200,-0.351069
66,1.060987,0.008000,0.349458
67,1.059291,0.006400,-0.701332
68,1.057598,0.004800,-0.701332
