time,index
0,2540.1001
1,2552.3999
2,2583.8999
3,2607.1001
4,2603.3000
5,2561.7000
6,2614.8999
7,2590.8000
8,2578.2000
9,2559.1001
10,2542.6001
11,2460.5000
12,2449.8999
13,2533.8999
14,2536.8999
15,2499.3999
16,2484.3999
17,2524.0000
18,2553.3000
19,2585.2000
20,2606.3999
21,2636.6001
22,2672.3999
23,2673.6001
24,2713.7000
25,2694.8999
26,2739.5000
27,2754.7000
28,2740.5000
29,2766.1001
30,2792.1001
31,2801.5000
32,2775.8000
33,2827.3999
34,2879.0000
35,2848.2000
36,2873.6001
37,2843.6001
38,2877.8999
39,2894.3000
40,2939.1001
41,2890.8999
42,2798.3999
43,2798.6001
44,2820.3999
45,2731.1001
46,2760.8999
47,2750.1001
48,2721.2000
49,2669.6001
50,2629.3000
51,2724.0000
52,2721.3000
53,2780.6001
54,2813.3999
55,2828.1001
56,2831.5000
57,2783.1001
58,2798.7000
59,2774.8999
60,2713.8000
61,2695.8999
62,2709.3999
63,2680.0000
64,2664.7000
65,2729.6001
66,2785.5000
67,2766.3999
68,2708.8999
69,2668.3999
70,2693.6001
71,2721.1001
72,2713.3999
73,2716.8999
74,2719.8999
75,2707.6001
76,2636.5000
77,2617.1001
78,2589.5000
79,2659.8999
80,2685.3999
81,2695.8000
82,2713.8000
83,2792.8999
84,2785.6001
85,2805.1001
86,2846.8999
87,2853.3999
88,2833.5000
89,2853.8999
90,2872.2000
91,2875.3999
92,2881.5000
93,2887.3000
94,2871.0000
95,2897.6001
96,2897.6001
97,2935.8999
98,2941.6001
99,2950.8000
100,2950.8000
101,2934.1001
102,2963.0000
103,3023.6001
104,3064.3000
105,3068.0000
106,3108.6001
107,3097.3000
108,3087.5000
109,3129.8999
110,3170.8999
111,3178.6001
112,3133.7000
113,3165.6001
114,3131.2000
115,3110.3999
116,3179.0000
117,3136.3000
118,3138.7000
119,3152.0000
120,3178.2000
121,3164.0000
122,3229.2000
123,3226.0000
124,3220.7000
125,3236.3999
126,3251.3999
127,3226.0000
128,3207.2000
129,3216.1001
130,3253.3999
131,3262.3000
132,3305.8000
133,3342.1001
134,3386.1001
135,3353.8000
136,3380.3999
137,3366.8000
138,3343.6001
139,3346.8999
140,3337.5000
141,3389.7000
142,3419.3000
143,3479.2000
144,3514.3000
145,3531.8999
146,3517.1001
147,3498.0000
148,3536.2000
149,3543.8000
150,3546.5000
151,3557.3999
152,3514.3000
153,3512.2000
154,3510.7000
155,3504.8999
156,3450.6001
157,3408.0000
158,3446.6001
159,3391.3000
160,3447.3000
161,3526.3000
162,3583.3000
163,3611.7000
164,3644.3000
165,3635.8999
166,3654.0000
167,3654.5000
168,3646.3000
169,3601.5000
170,3577.6001
171,3601.0000
172,3660.5000
173,3649.8000
174,3646.8999
175,3646.8999
176,3571.3999
177,3650.0000
178,3668.0000
179,3695.5000
180,3763.1001
181,3768.3999
182,3840.1001
183,3884.7000
184,3859.5000
185,3943.6001
186,3949.7000
187,3902.7000
188,3947.0000
189,3925.3000
190,3936.1001
191,3882.3999
192,3900.2000
193,3841.3000
194,3844.5000
195,3828.6001
196,3783.2000
197,3362.3999
198,2241.7000
199,2395.7000
200,2370.2000
201,2204.5000
202,2204.5000
203,2203.2000
204,2180.5000
205,2077.1001
206,1960.9000
207,2113.7000
208,2139.3000
209,2043.2000
210,2075.3000
211,2150.8999
212,2226.7000
213,2310.8999
214,2290.3999
215,2285.2000
216,2257.6001
217,2214.7000
218,2141.7000
219,2134.8000
220,2184.3999
221,2179.6001
222,2194.0000
223,2138.3999
224,2108.6001
225,2100.8000
226,2057.3999
227,1994.2000
228,1894.9000
229,1986.1000
230,1985.0000
231,2027.7000
232,1989.6000
233,2040.6000
234,2080.6001
235,2145.7000
236,2142.2000
237,2180.5000
238,2278.1001
239,2276.3999
240,2325.6001
241,2379.1001
242,2286.8000
243,2301.3000
244,2292.0000
245,2302.8000
246,2286.3000
247,2403.2000
248,2463.0000
249,2452.5000
250,2460.7000
251,2400.8000
252,2442.3999
253,2383.8000
254,2411.5000
255,2429.8000
256,2512.2000
257,2488.2000
258,2484.3000
259,2412.3000
260,2422.3999
261,2407.3000
262,2426.1001
263,2412.6001
264,2412.7000
265,2409.7000
266,2358.3000
267,2298.5000
268,2354.5000
269,2295.3000
270,2292.6001
271,2223.6001
272,2223.0000
273,2233.5000
274,2256.5000
275,2287.2000
276,2301.8000
277,2328.0000
278,2347.2000
279,2329.3999
280,2336.0000
281,2355.8999
282,2383.8999
283,2418.1001
284,2454.7000
285,2462.1001
286,2468.5000
287,2472.3999
288,2470.3999
289,2493.3000
290,2551.8000
291,2591.3000
292,2595.5000
293,2584.7000
294,2578.8999
295,2555.0000
296,2581.3000
297,2607.6001
298,2602.8000
299,2594.8000
300,2561.8999
301,2546.3999
302,2501.3999
303,2466.8000
304,2521.6001
305,2528.8999
306,2544.0000
307,2556.6001
308,2623.1001
309,2619.8999
310,2651.0000
311,2635.8999
312,2671.2000
313,2684.1001
314,2599.0000
315,2552.0000
316,2593.8999
317,2578.3999
