time,price,return
0,0.967941,0.001157
1,0.965555,-0.002468
2,0.964730,-0.000855
3,0.967968,0.003351
4,0.962982,-0.005164
5,0.964525,0.001601
6,0.960821,-0.003847
7,0.960526,-0.000307
8,0.961342,0.000849
9,0.960358,-0.001024
10,0.963156,0.002909
11,0.964159,0.001041
12,0.967548,0.003509
13,0.966871,-0.000700
14,0.968675,0.001864
15,0.968883,0.000215
16,0.968835,-0.000050
17,0.966422,-0.002494
18,0.965297,-0.001164
19,0.971610,0.006519
20,0.973957,0.002412
21,0.972344,-0.001658
22,0.973000,0.000675
23,0.972949,-0.000052
24,0.973100,0.000155
25,0.971586,-0.001557
26,0.976851,0.005405
27,0.974992,-0.001905
28,0.977229,0.002291
29,0.979734,0.002560
30,0.981305,0.001603
31,0.980201,-0.001125
32,0.980772,0.000582
33,0.978043,-0.002786
34,0.976255,-0.001829
35,0.977057,0.000821
36,0.977032,-0.000026
37,0.978441,0.001441
38,0.977697,-0.000761
39,0.978931,0.001262
40,0.980341,0.001440
41,0.981037,0.000709
42,0.979447,-0.001621
43,0.981946,0.002548
44,0.980626,-0.001345
45,0.977549,-0.003143
46,0.979249,0.001737
47,0.979773,0.000536
48,0.981851,0.002119
49,0.981110,-0.000755
50,0.983083,0.002009
51,0.982766,-0.000322
52,0.979727,-0.003097
53,0.971722,-0.008205
54,0.972100,0.000389
55,0.972305,0.000212
56,0.970577,-0.001779
57,0.971483,0.000933
58,0.969860,-0.001672
59,0.969178,-0.000703
60,0.970950,0.001827
61,0.973283,0.002400
62,0.970387,-0.002980
63,0.971301,0.000941
64,0.972590,0.001327
65,0.971531,-0.001090
66,0.973076,0.001589
67,0.969472,-0.003710
68,0.967097,-0.002453
69,0.965372,-0.001785
70,0.964530,-0.000873
71,0.964286,-0.000253
72,0.963637,-0.000673
73,0.959850,-0.003939
74,0.959488,-0.000377
75,0.960317,0.000864
76,0.958932,-0.001444
77,0.957609,-0.001381
78,0.955094,-0.002629
79,0.958698,0.003766
80,0.956955,-0.001820
81,0.957807,0.000890
82,0.958142,0.000349
83,0.957924,-0.000228
84,0.953670,-0.004451
85,0.958686,0.005246
86,0.957508,-0.001230
87,0.957429,-0.000082
88,0.953568,-0.004042
89,0.953663,0.000100
90,0.953982,0.000334
91,0.952036,-0.002041
92,0.953115,0.001132
93,0.953524,0.000429
94,0.955047,0.001596
95,0.953518,-0.001603
96,0.951461,-0.002159
97,0.950291,-0.001230
98,0.952830,0.002667
99,0.955873,0.003189
100,0.957005,0.001183
101,0.955267,-0.001817
102,0.955817,0.000575
103,0.957131,0.001373
104,0.957470,0.000354
105,0.957495,0.000026
106,0.957852,0.000373
107,0.963582,0.005964
108,0.965550,0.002040
109,0.964490,-0.001099
110,0.965682,0.001235
111,0.965090,-0.000613
112,0.961581,-0.003643
113,0.965881,0.004462
114,0.968147,0.002343
115,0.968743,0.000615
116,0.973003,0.004388
117,0.972707,-0.000305
118,0.975166,0.002525
119,0.976496,0.001364
120,0.971936,-0.004681
121,0.972109,0.000178
122,0.968953,-0.003252
